ID,Property_Age,Location_Risk,Disaster_History,Construction_Type,Property_Value,Owner_Age,Insurance_Type,Past_Claims,Claim_Filed
81,90,1,1,2,1155587,41,0,3,1
82,44,1,0,0,2677988,69,1,1,1
83,34,0,0,1,2110598,48,0,3,0
84,74,2,0,0,3667577,47,0,0,1
85,62,0,0,2,1808798,18,1,0,0
86,100,1,0,0,1973126,18,1,3,0
87,14,1,1,2,355178,71,0,0,0
88,95,1,1,1,950281,25,0,2,0
89,48,0,1,1,2373527,65,0,2,1
90,15,2,1,0,4309400,59,1,1,0
91,72,0,0,1,2932154,51,0,3,0
92,78,1,0,2,4622339,33,1,1,0
93,87,0,0,0,2729872,44,0,2,1
94,62,0,0,1,1557492,21,0,2,1
95,40,1,0,0,4391490,36,1,2,0
96,85,1,0,1,408762,46,0,4,0
97,80,0,0,0,3863328,58,0,0,1
98,82,0,1,0,3628923,20,1,1,0
99,53,1,1,2,4422385,28,1,1,1
100,24,1,1,1,2020552,25,1,2,1
101,26,2,0,0,246451,79,0,4,0
102,89,0,0,1,678886,56,2,1,1
103,60,0,0,0,2501316,50,2,5,0
104,41,0,0,0,3778589,25,1,1,1
105,29,0,0,1,2612783,42,1,4,0
106,15,1,0,0,4251334,41,2,2,1
107,45,1,0,1,3621710,43,0,4,1
108,65,0,0,1,4796854,43,0,0,0
109,89,0,0,2,1411664,34,0,1,0
110,71,0,0,2,3644784,80,2,0,0
111,9,2,0,0,3692058,44,1,1,1
112,88,2,0,1,1450162,46,2,0,1
113,1,0,0,1,358153,60,0,1,1
114,8,0,0,0,1323137,56,2,5,0
115,88,2,0,2,1849197,78,2,2,0
116,63,2,1,2,3017186,26,2,5,1
117,11,1,1,1,2479430,31,1,3,0
118,81,0,0,1,2159579,22,2,4,0
119,8,0,0,0,4758224,67,2,1,1
120,35,1,0,1,4982318,47,1,4,0
121,35,0,0,2,4495903,73,1,1,1
122,33,0,0,1,1418866,80,1,3,0
123,5,1,0,0,1612618,74,1,2,0
124,41,0,0,1,2942597,72,1,2,0
125,28,1,0,1,4150382,45,0,4,0
126,7,0,1,1,1622172,62,1,5,1
127,73,0,0,1,4662903,54,0,3,0
128,72,1,1,1,2918076,25,0,4,0
129,12,0,0,2,1141597,32,0,2,1
130,34,2,0,2,3853796,71,2,0,1
131,33,1,1,0,3384734,45,0,4,0
132,48,0,1,2,1506101,53,2,1,0
133,23,1,0,1,331948,50,1,2,0
134,62,0,0,2,468499,23,1,1,0
135,88,2,0,2,3692348,73,0,3,0
136,37,0,0,1,3247855,68,0,5,1
137,99,1,1,2,306691,29,1,5,0
138,44,0,1,0,774451,24,0,2,0
139,86,1,0,0,2996103,62,1,2,0
140,91,2,0,1,2663720,45,2,5,1
141,35,2,0,2,632639,24,0,4,0
142,65,0,0,2,3631095,58,1,5,0
143,99,0,1,1,508864,18,2,5,0
144,47,2,1,1,209538,70,2,4,1
145,78,2,0,1,1503717,41,2,1,0
146,3,0,0,2,3745744,62,2,4,0
147,1,1,0,1,1390085,78,1,0,0
148,5,0,0,2,2629385,36,2,2,0
149,90,2,1,1,1379757,70,2,5,1
150,14,0,0,1,186967,49,1,3,1
151,27,0,0,1,252996,47,1,2,0
152,9,1,0,2,4853456,18,1,5,1
153,79,0,1,1,1423213,49,1,1,0
154,15,1,0,2,4299641,74,0,5,1
155,90,1,1,0,3786051,37,1,4,0
156,42,0,1,1,4279379,38,1,2,0
157,77,0,1,2,3596726,36,1,4,1
158,51,1,0,2,338913,47,0,5,1
159,63,0,0,2,834694,67,1,1,1
160,96,1,0,0,4125045,45,0,4,1
161,52,2,0,0,1367173,49,0,3,0
162,96,1,0,1,4661171,47,1,5,0
163,4,0,0,0,632912,40,1,1,0
164,94,0,0,2,4549464,44,0,2,0
165,23,0,1,0,2338679,54,1,2,1
166,15,0,0,1,2440960,76,1,3,0
167,43,1,0,0,1290842,43,1,0,1
168,29,1,1,1,1956630,79,1,4,0
169,36,0,1,1,173106,20,0,5,0
170,13,0,1,0,100617,48,1,2,0
171,32,0,1,1,487529,19,2,5,0
172,71,1,1,1,1255389,75,1,3,1
173,59,0,0,2,1785885,71,2,4,1
174,86,1,0,0,4955949,27,1,1,0
175,28,0,0,1,657512,55,1,5,1
176,66,2,0,2,2123306,36,2,3,0
177,42,2,0,2,2117547,48,1,1,1
178,45,0,0,2,1775042,46,2,1,0
179,62,0,0,2,2791750,42,1,1,0
180,57,1,0,1,1588909,49,2,4,0
181,6,0,0,1,1395339,34,1,0,0
182,28,1,1,0,4224826,68,2,5,0
183,28,2,0,1,3072219,62,0,1,0
184,44,1,1,2,412362,66,1,2,0
185,84,2,0,1,4555616,40,2,4,0
186,30,0,1,2,3097975,35,0,4,0
187,62,0,1,2,113302,28,1,1,0
188,75,1,0,0,3907582,76,2,2,1
189,92,0,0,2,880638,77,0,3,0
190,89,1,0,1,3617606,69,1,4,0
191,62,0,1,0,1743667,37,1,1,0
192,97,0,1,2,4437922,79,1,5,0
193,1,2,1,1,2876991,30,0,1,0
194,27,0,0,2,4855029,41,0,5,0
195,62,2,0,1,3910745,60,0,5,0
196,77,2,1,1,712277,37,0,0,0
197,3,1,0,2,4240861,68,0,0,0
198,70,1,0,1,2921564,59,1,3,1
199,72,1,0,1,2193508,45,1,3,1
200,27,2,1,0,4118579,52,1,5,1
201,9,0,0,2,4516506,38,0,3,0
202,62,1,0,0,4989665,23,1,3,1
203,37,1,0,2,575710,24,1,1,1
204,97,1,1,1,379986,46,2,1,1
205,51,1,0,1,3089283,70,1,1,0
206,44,0,0,2,1633403,40,2,2,0
207,24,1,0,0,4214854,69,0,5,0
208,79,2,1,1,1276714,22,1,3,1
209,59,0,1,2,1058070,39,1,2,1
210,32,2,1,2,2204888,26,2,4,1
211,96,1,0,1,1721122,49,1,5,0
212,88,2,1,1,4653252,71,1,4,1
213,52,1,0,2,1717375,27,0,1,1
214,62,1,0,2,3512078,63,1,4,0
215,58,0,0,2,2216500,60,0,1,0
216,52,2,0,1,4350361,66,0,5,0
217,12,0,1,2,2888593,45,0,5,0
218,39,2,0,1,1524079,28,2,3,0
219,2,2,0,0,1266191,24,1,2,1
220,3,0,0,1,2697545,47,2,1,0
221,56,0,0,0,1079712,60,2,0,0
222,81,1,0,0,4712374,62,2,0,0
223,59,0,0,0,1428752,76,2,3,0
224,2,2,0,0,3562551,68,2,2,0
225,2,0,0,1,1932110,55,0,1,0
226,92,0,0,0,4664102,51,0,3,1
227,54,2,1,0,2494405,80,1,2,1
228,87,1,0,0,4862829,63,1,0,0
229,96,2,1,0,3210984,45,0,1,0
230,97,0,1,0,1357448,49,1,2,0
231,1,1,1,1,1194880,33,1,4,1
232,19,1,0,2,2733631,56,2,1,1
233,2,1,0,2,774608,18,1,4,0
234,53,1,1,2,4994608,78,1,5,0
235,44,1,0,0,1527385,51,1,5,0
236,90,1,0,0,1410142,58,1,5,0
237,32,0,0,0,982620,74,2,3,0
238,70,1,0,2,4987471,40,0,2,0
239,32,0,1,0,4121119,67,1,5,0
240,68,1,0,1,2638401,70,1,2,0
241,55,0,0,0,2822717,37,1,2,1
242,75,1,0,0,2201778,35,0,2,0
243,56,1,0,2,4673240,35,0,1,1
244,17,0,0,2,523801,59,0,4,0
245,38,0,0,2,2148423,57,1,4,0
246,24,0,1,1,3204279,38,2,3,0
247,69,1,0,2,1783850,25,1,5,0
248,98,2,1,1,1130593,51,0,3,1
249,70,0,0,2,3222971,67,1,2,0
250,86,1,0,0,4540826,28,0,0,0
251,11,0,0,1,2694171,60,2,0,1
252,16,1,0,1,2527846,68,1,2,0
253,97,2,1,1,2338997,60,2,5,1
254,73,0,1,2,4967545,27,1,4,1
255,59,1,0,2,3909368,25,2,3,1
256,70,0,0,1,159593,64,0,1,0
257,80,0,1,1,2353779,25,0,0,0
258,93,0,0,1,4597869,36,0,3,0
259,3,0,0,2,4452708,18,1,0,0
260,20,1,1,1,4601036,72,1,4,0
261,59,1,0,0,4170869,69,1,4,0
262,36,1,1,1,1239067,20,2,2,1
263,19,0,0,0,2775238,70,0,2,0
264,90,0,1,2,2868667,61,1,0,0
265,67,1,0,1,1983089,49,2,0,0
266,19,2,0,1,4479068,65,1,3,0
267,20,0,0,2,1982163,71,2,2,0
268,96,2,0,0,3335066,33,1,4,0
269,71,1,0,0,3907151,47,1,5,0
270,52,1,0,1,4636189,66,0,3,1
271,33,1,0,0,4976171,45,2,3,0
272,40,0,1,1,4301965,45,2,1,0
273,39,0,0,2,4461565,33,2,5,1
274,82,1,0,2,3389857,58,1,4,1
275,1,0,0,2,2559082,71,2,3,0
276,11,2,0,2,1292139,68,1,5,1
277,92,1,0,1,1968418,50,1,1,0
278,57,0,0,0,4487405,78,2,5,0
279,89,1,1,0,2755794,42,0,2,0
280,50,0,0,2,2543625,35,0,4,0
281,23,1,0,1,106504,79,1,2,0
282,31,1,1,0,1066710,43,1,1,0
283,94,2,1,1,3744176,23,1,4,1
284,42,1,0,1,3872907,55,1,0,0
285,99,1,1,1,4444666,61,2,0,0
286,7,1,0,2,2972288,20,1,0,0
287,16,2,1,1,3976748,60,0,5,1
288,90,0,0,2,1645152,23,1,3,1
289,60,0,0,1,2432510,31,2,5,0
290,2,0,1,2,4431517,35,0,5,1
291,1,0,0,2,427124,33,1,5,1
292,48,1,0,2,3139334,41,0,5,1
293,12,1,0,0,3245686,30,1,0,0
294,69,1,0,0,961129,18,0,3,0
295,37,0,0,1,2853583,55,1,3,0
296,32,1,0,1,4442496,31,1,1,1
297,9,0,0,1,191477,34,2,0,1
298,99,1,0,2,3118286,74,1,4,1
299,19,1,0,0,4932238,30,2,5,0
300,48,0,0,1,4268201,30,1,3,0
301,80,0,0,0,4480239,26,0,1,0
302,3,0,1,2,382098,23,0,3,0
303,20,2,0,2,485468,23,2,4,0
304,24,2,0,1,2539507,74,1,4,0
305,54,1,1,0,3046371,47,2,0,1
306,33,0,1,2,2854131,54,0,3,0
307,24,1,0,1,964853,74,0,4,1
308,75,1,1,1,298812,70,1,2,0
309,72,1,0,2,2183471,63,1,4,0
310,36,0,1,2,3220702,31,0,4,0
311,38,0,0,1,4895822,21,1,3,1
312,84,1,0,1,1319990,51,1,5,1
313,99,0,0,0,1422168,19,1,4,0
314,89,0,1,1,1067453,80,0,1,0
315,99,0,0,1,2359434,78,1,5,0
316,25,1,0,1,4712930,34,1,4,0
317,93,2,0,0,3232343,59,1,2,0
318,18,2,1,0,3441847,31,1,4,1
319,82,1,1,0,3501712,68,2,0,0
320,66,1,0,1,1046532,34,1,3,0
321,54,0,0,1,2392959,78,2,2,1
322,35,1,0,1,2470763,71,1,1,0
323,80,0,0,1,4321399,47,0,4,1
324,61,1,1,1,2830155,60,1,4,0
325,41,0,0,2,1267138,46,1,1,0
326,100,0,0,1,2997201,24,1,4,0
327,33,0,0,2,4391033,26,1,0,0
328,68,0,0,1,286293,63,0,5,1
329,33,0,0,1,2268272,40,1,5,1
330,14,0,0,0,4884008,53,1,2,1
331,21,2,0,1,3359520,31,1,4,0
332,48,1,0,2,3306084,37,1,1,1
333,20,1,0,2,2470406,73,2,1,0
334,8,2,0,2,1772328,69,1,2,0
335,7,2,0,0,2438701,34,0,0,0
336,67,1,1,1,3922216,49,2,2,0
337,17,2,0,1,729923,42,0,4,0
338,33,0,0,1,3358830,68,1,5,0
339,48,0,1,0,3008003,47,0,0,0
340,76,1,0,2,2981154,66,0,0,0
341,59,1,0,2,4178452,74,0,1,0
342,86,1,0,1,516918,44,1,0,0
343,22,0,0,0,4664857,44,0,4,0
344,30,0,0,0,4078824,63,0,4,0
345,38,1,0,1,3455421,48,1,4,1
346,51,0,1,1,3109810,62,1,5,0
347,54,1,1,2,1139426,43,2,3,0
348,8,1,0,1,875217,31,2,0,1
349,27,1,0,1,4616655,75,1,0,0
350,27,1,0,1,4839586,65,2,4,1
351,98,2,0,0,4784001,38,1,1,0
352,21,1,0,2,4548761,45,1,5,0
353,30,1,1,1,4380474,32,1,0,0
354,97,1,0,2,2227721,47,0,3,0
355,28,0,1,1,4563074,42,1,0,0
356,64,0,1,2,4822556,68,1,2,0
357,97,0,1,0,4210609,71,0,3,0
358,69,1,0,1,380202,28,0,1,0
359,61,1,0,2,2419526,61,0,3,1
360,48,2,0,2,3488434,28,2,3,1
361,19,0,0,2,266232,45,2,0,0
362,4,0,0,0,3613054,72,1,3,0
363,35,2,0,2,593441,22,0,4,0
364,64,0,0,2,3250161,45,0,5,0
365,49,1,0,0,1494467,25,2,3,1
366,17,1,1,2,438371,43,0,0,0
367,44,1,0,0,2021788,23,2,4,1
368,92,0,0,1,1054040,49,1,1,1
369,30,0,0,1,4286848,65,2,2,1
370,93,0,1,2,2167091,49,1,3,0
371,46,1,0,0,2835895,29,1,4,1
372,6,1,0,1,2436027,23,1,4,1
373,99,0,0,1,4875604,30,2,1,1
374,37,1,1,1,738898,56,2,1,0
375,24,2,1,1,4019980,57,1,2,0
376,93,0,0,0,1562406,61,1,2,0
377,46,1,0,2,3577794,78,2,0,1
378,53,1,0,2,4503062,51,2,2,1
379,95,0,0,2,4867334,40,1,2,0
380,99,0,0,2,2729115,58,0,4,1
381,60,1,1,1,1953259,62,0,3,1
382,97,2,1,1,4317653,34,2,3,1
383,63,2,0,1,3236540,62,0,5,0
384,85,1,0,0,4423721,65,0,2,0
385,32,1,0,2,411322,80,0,5,1
386,87,0,1,0,4021932,77,1,5,0
387,33,1,1,2,4500036,18,1,0,0
388,67,1,0,0,3383388,24,0,0,0
389,18,0,0,2,2817919,30,0,3,0
390,25,1,0,0,2850484,31,1,1,0
391,95,1,0,0,4381991,70,2,4,0
392,54,0,1,2,4357500,34,0,2,0
393,58,2,0,0,608370,47,0,4,0
394,67,0,1,2,132400,65,1,2,0
395,46,0,0,1,615593,64,2,2,0
396,24,0,1,0,4569984,78,1,5,0
397,32,1,0,2,495916,66,1,3,0
398,47,1,1,1,1091849,51,2,4,0
399,86,0,0,2,2081195,44,0,4,0
400,23,1,0,1,2905441,75,0,1,1
401,66,0,0,1,3946601,42,1,1,0
402,27,1,0,1,2759540,77,2,4,0
403,2,1,0,0,1368374,61,1,1,1
404,90,1,0,1,1563232,52,2,1,0
405,17,2,1,1,2419840,26,1,2,0
406,33,0,0,1,4851539,23,1,3,0
407,9,0,1,1,4629980,78,0,2,1
408,43,1,1,1,3485881,43,0,5,1
409,48,2,0,0,442542,55,1,1,0
410,39,0,0,1,3305141,56,0,2,0
411,93,0,0,1,2431992,75,0,2,0
412,42,0,0,0,4797615,44,2,0,0
413,26,1,0,0,3765100,57,2,2,1
414,99,0,1,0,2024393,76,0,2,0
415,50,1,0,2,3117375,48,1,3,0
416,25,2,0,2,607432,20,0,4,1
417,24,1,0,0,768284,41,0,0,0
418,13,0,1,0,3860842,32,1,0,0
419,60,1,0,2,2900521,71,1,0,0
420,7,0,0,1,1402776,23,0,5,0
421,57,2,0,2,2984728,28,1,0,1
422,36,1,0,2,3102754,47,0,3,0
423,45,0,1,1,4724822,52,2,4,0
424,20,1,1,0,2847663,65,1,5,0
425,65,1,0,2,330096,55,1,3,0
426,8,1,0,2,4216952,60,0,0,0
427,16,0,0,1,3627288,78,1,4,0
428,14,2,0,1,3973723,57,1,3,1
429,76,2,0,1,4252268,46,2,4,1
430,87,1,0,1,3246265,40,0,5,0
431,15,2,0,2,397597,59,2,3,0
432,92,0,1,2,3247708,80,1,4,0
433,98,1,0,1,2006450,59,0,3,0
434,66,1,1,2,264379,72,1,0,1
435,32,1,0,0,3945932,20,1,0,1
436,87,1,0,0,4715295,43,2,0,1
437,63,0,1,1,2914372,31,1,5,1
438,86,0,0,0,820143,36,1,3,0
439,51,0,0,1,354435,38,0,4,0
440,25,0,0,0,141988,77,0,4,1
441,58,1,0,2,4742972,38,1,1,1
442,63,0,1,2,1803987,26,1,2,1
443,62,0,1,1,911250,30,1,0,0
444,22,1,0,0,1543478,58,0,0,0
445,58,1,0,1,4182437,75,0,0,0
446,58,2,0,2,4251715,70,1,1,0
447,86,1,0,1,3499608,61,2,1,0
448,49,0,0,0,2598464,63,1,1,1
449,52,2,0,0,208336,54,1,0,1
450,42,1,0,1,3188808,55,1,4,1
451,70,0,0,0,2954506,62,0,0,0
452,15,1,0,2,4229484,62,1,1,0
453,54,2,0,2,694399,41,1,1,0
454,60,0,0,0,623931,55,2,2,0
455,97,0,1,1,1759356,63,1,3,0
456,8,0,1,0,4945592,28,0,2,1
457,53,0,0,2,716764,46,1,2,0
458,60,1,0,1,198941,62,1,0,0
459,5,1,1,1,4041651,61,0,3,0
460,68,0,1,1,939532,79,2,3,1
461,6,2,1,1,223569,65,2,0,1
462,96,1,0,1,1030135,55,1,4,1
463,94,1,1,1,2677838,58,1,5,1
464,47,2,0,1,3928270,34,1,0,0
465,99,0,1,1,4109766,79,1,4,1
466,55,1,1,0,4375908,69,0,4,0
467,40,1,0,0,815796,65,0,3,0
468,52,2,1,1,4282158,43,0,0,0
469,16,1,0,1,2932736,78,1,0,1
470,13,0,1,1,1263731,43,1,3,1
471,30,2,0,2,2327712,29,1,2,0
472,19,0,1,0,1645679,35,1,0,0
473,17,2,0,0,4454924,26,1,5,1
474,63,2,1,0,4503025,20,1,5,1
475,19,0,0,1,2346384,27,1,1,1
476,92,1,0,1,4131545,60,1,1,0
477,58,0,0,2,539421,19,1,0,0
478,55,1,1,0,578061,25,2,4,0
479,90,1,0,1,2496148,69,1,5,0
480,90,1,0,2,4601469,60,0,5,1
481,62,2,0,2,2040940,35,2,3,1
482,23,1,1,2,3251923,69,1,5,0
483,9,1,0,2,3663230,56,0,4,1
484,12,2,0,2,3148237,48,0,1,0
485,1,2,0,0,1226250,31,1,1,0
486,58,0,0,0,2715564,56,1,3,0
487,1,2,0,0,3082160,50,1,1,0
488,34,0,0,2,1689056,46,0,2,0
489,96,2,1,2,220920,61,1,1,0
490,48,0,1,0,1210020,77,0,5,1
491,89,0,0,1,4982788,50,0,4,0
492,1,1,0,2,4969793,52,1,4,0
493,16,1,0,2,2885776,19,1,2,0
494,61,0,0,1,4176221,52,1,4,0
495,64,0,1,2,4684260,49,2,4,0
496,63,1,0,1,4740965,53,0,4,0
497,69,2,0,1,1874348,63,0,0,0
498,22,0,0,1,4495037,72,0,2,0
499,93,0,1,1,3119984,67,1,2,0
500,67,1,0,0,1845976,40,1,1,0
501,76,0,0,2,2518495,80,1,5,0
502,26,2,0,2,3040623,22,1,2,0
503,16,2,1,2,2823123,64,1,3,1
504,51,1,1,1,1723614,33,1,2,0
505,86,0,0,1,2377004,57,1,3,0
506,57,1,0,1,1561354,41,1,4,0
507,29,1,1,0,3139084,70,0,5,0
508,78,2,0,1,356599,75,1,3,1
509,92,1,0,0,4315801,57,1,5,0
510,69,1,0,0,1761547,45,0,5,0
511,47,1,0,2,3882732,79,1,0,0
512,94,1,0,0,3262925,42,2,5,1
513,62,2,1,2,4393760,24,0,4,1
514,69,1,0,1,4480360,55,0,3,0
515,76,1,0,2,4951547,24,1,5,0
516,16,0,1,0,4573099,72,1,4,0
517,90,1,0,1,1103095,68,0,0,0
518,90,1,0,1,3711493,39,2,4,0
519,48,0,0,2,432857,39,1,4,0
520,85,0,1,1,1955477,44,2,2,0
521,39,1,1,0,1528258,74,1,1,0
522,100,1,1,2,3342493,50,2,3,0
523,33,1,1,1,587853,62,1,1,1
524,94,0,0,0,320075,49,0,0,0
525,23,1,0,1,2477513,56,2,0,0
526,10,0,1,1,2293996,49,0,4,0
527,69,1,0,0,3385789,18,2,1,0
528,100,0,0,1,2923203,27,1,3,1
529,34,0,0,0,4482226,62,2,3,0
530,52,0,0,1,622005,21,1,4,0
531,95,0,1,2,3761632,46,1,3,0
532,10,0,0,1,1916376,24,0,2,0
533,19,0,0,1,281514,55,1,1,0
534,58,1,1,0,435641,23,1,0,0
535,96,1,0,0,3925071,70,1,3,0
536,1,0,0,0,4563634,28,0,3,0
537,69,2,0,1,4695026,72,1,3,0
538,4,0,1,1,4280107,26,1,4,0
539,16,1,1,2,534242,47,0,0,1
540,24,0,1,0,3079345,39,1,1,0
541,80,0,1,1,2845712,75,2,3,0
542,2,1,0,1,292407,56,1,2,1
543,92,1,1,1,2290285,26,1,5,0
544,32,2,1,2,172306,72,2,4,1
545,91,1,0,0,2353378,55,0,1,0
546,84,2,0,0,189854,68,1,3,0
547,24,0,1,1,4738277,63,1,1,0
548,12,0,1,1,2368979,50,1,4,0
549,50,0,1,0,1573150,43,1,5,0
550,35,0,1,0,2584154,33,1,2,0
551,33,1,0,1,727097,26,0,3,0
552,33,1,0,1,647919,40,1,2,0
553,61,0,0,0,3719636,32,1,4,1
554,51,2,0,1,754472,36,0,2,0
555,43,2,1,1,4830500,59,0,4,1
556,12,0,0,1,2876947,33,2,5,0
557,67,0,0,2,1734580,42,1,2,0
558,65,0,0,0,3194630,52,1,1,0
559,33,0,0,2,3941598,68,2,1,1
560,40,0,0,1,2553397,30,1,4,0
561,74,1,0,2,591340,63,2,1,0
562,43,0,0,1,2042502,24,2,5,0
563,44,0,0,1,879933,51,1,2,0
564,29,2,1,2,1572736,75,1,2,0
565,13,1,0,2,807906,31,1,3,0
566,12,2,0,0,2670373,40,2,4,0
567,95,0,0,0,1323411,40,1,1,0
568,46,0,0,1,3909738,34,0,5,0
569,2,1,0,2,4189509,30,0,4,0
570,35,0,1,1,3565842,75,0,1,0
571,87,0,1,1,3903544,44,2,3,0
572,81,1,0,2,1558382,19,2,2,0
573,90,1,0,2,1962900,54,1,2,0
574,8,1,1,1,4294281,47,1,5,0
575,93,1,1,1,4471104,21,2,0,0
576,26,1,0,2,828052,47,1,4,0
577,74,0,0,1,4058675,20,0,1,0
578,90,0,0,2,3912075,75,1,0,0
579,34,0,0,1,833456,31,2,4,0
580,7,0,0,1,417818,28,1,1,0
581,68,2,0,0,1872145,57,1,3,0
582,58,1,0,0,409911,40,0,4,0
583,75,1,0,2,3449159,58,1,1,0
584,29,0,1,1,401788,65,2,2,0
585,36,0,1,1,611908,49,1,4,0
586,89,0,0,0,4070901,20,1,1,0
587,21,0,1,1,4695576,59,0,5,0
588,36,0,0,1,4001438,18,2,2,0
589,10,1,1,1,318299,26,0,2,0
590,73,1,0,0,2696408,65,0,0,1
591,24,1,0,2,2946649,26,2,1,0
592,64,1,0,2,3332277,77,2,0,1
593,99,2,0,0,1577305,29,1,5,1
594,49,0,1,1,3727887,18,1,0,1
595,99,0,0,1,3532532,33,1,3,1
596,36,0,0,1,711144,47,0,0,0
597,82,1,0,2,3518494,25,0,0,0
598,96,2,0,1,2315344,63,1,3,0
599,24,0,0,1,2478104,63,0,3,0
600,23,2,0,1,1105510,27,2,4,0
601,62,2,1,0,2838349,50,0,0,1
602,96,0,1,0,2445041,55,1,2,0
603,37,0,1,1,1032849,58,1,3,0
604,12,1,0,0,4425773,68,1,1,0
605,55,2,1,2,2485672,39,1,4,1
606,13,0,0,2,513073,33,2,4,0
607,23,1,0,2,2916780,36,1,0,0
608,89,0,0,2,3081626,28,1,5,1
609,99,1,1,1,3001912,79,1,2,0
610,30,1,1,2,2369621,70,0,5,0
611,17,1,1,0,4987823,28,1,5,0
612,62,2,1,0,1530807,31,1,3,1
613,84,2,1,2,2116842,56,2,1,0
614,89,2,1,0,1877302,76,2,0,0
615,86,0,0,2,4867590,43,0,2,1
616,13,1,0,1,3572725,61,0,0,0
617,59,0,0,2,3348032,37,0,0,0
618,19,1,0,0,4706568,37,2,4,0
619,49,1,0,1,4483996,72,0,5,0
620,100,1,0,0,3234474,22,1,1,1
621,12,1,0,2,3777119,18,1,1,0
622,61,2,1,0,4278557,28,1,1,1
623,19,0,1,1,4046706,64,0,1,0
624,76,1,0,0,2453100,27,0,3,0
625,9,0,0,0,1295104,78,1,3,0
626,71,0,0,1,2477524,64,0,1,0
627,28,0,0,0,2146290,45,0,2,0
628,78,2,1,2,4556494,62,0,3,1
629,95,2,0,0,428499,64,1,3,0
630,52,2,0,1,2626943,51,1,2,1
631,83,2,1,1,2937454,71,0,1,0
632,16,0,1,0,3061046,30,1,0,0
633,69,0,0,1,1164506,61,0,3,0
634,99,1,1,2,2105589,42,1,0,0
635,12,1,0,0,2559817,40,0,0,0
